Name,Type,State,"Profit /
Net Outstanding",Disbursed,Returned,"Dividends +
Interest",Warrants,Other Proceeds
IBW Financial Corporation,Bank (Private),DC,"$822,067","$6,000,000","$5,610,000","$1,212,067",$0,$0
ICB Financial,Bank (Private),CA,"$1,194,458","$6,000,000","$6,000,000","$1,194,458",$0,$0
IC Federal Credit Union,Mortgage Servicer,MA,"-$174,069","$174,069",$0,$0,$0,$0
Idaho Bancorp,Bank (Private),ID,"-$6,344,327","$6,900,000",$0,"$124,305",$0,"$431,367"
Idaho Housing and Finance Association,Mortgage Servicer,ID,"-$305,886","$305,886",$0,$0,$0,$0
Illinois Housing Development Authority,State Housing Orgs,IL,"-$715,615,095","$715,615,095",$0,$0,$0,$0
"Illinois State Bancorp, Inc.",Bank (Private),IL,"$1,564,113","$10,272,000","$10,272,000","$1,158,113","$406,000",$0
Independence Bank,Bank (Private),RI,"$329,723","$1,065,000","$1,065,000","$276,723","$53,000",$0
Independent Bank Corp,Bank (Public),MA,"$3,318,093","$78,158,000","$78,158,000","$1,118,093","$2,200,000",$0
Independent Bank Corporation,Bank (Public),MI,"$9,004,000","$72,000,000","$72,000,000","$9,004,000",$0,$0
Independent Employers Group Federal Credit Union,Bank (Community Development),HI,"$71,701","$698,000","$698,000","$71,701",$0,$0
Indiana Bank Corp,Bank (Private),IN,"-$1,146,861","$1,312,000",$0,"$165,139",$0,$0
Indiana Community Bancorp,Bank (Public),IN,"$5,831,250","$21,500,000","$21,500,000","$4,031,250","$1,800,000",$0
Indiana Housing and Community Development Authority,State Housing Orgs,IN,"-$283,994,336","$283,994,336",$0,$0,$0,$0
Integra Bank Corporation,Bank (Public),IN,"-$81,635,660","$83,586,000",$0,"$1,950,340",$0,$0
Intermountain Community Bancorp,Bank (Public),ID,"$6,955,519","$27,000,000","$27,000,000","$6,944,884","$10,635",$0
International Bancshares Corporation,Bank (Public),TX,"$45,538,650","$216,000,000","$216,000,000","$41,520,139","$4,018,511",$0
Intervest Bancshares,Bank (Public),NY,"$7,927,621","$25,000,000","$24,007,500","$6,028,055","$2,892,066",$0
"Invesco Legacy Securities Master Fund, L.P.",Investment Fund,DE,"$576,938,945","$1,742,880,000","$1,742,880,003","$515,860,535",$0,"$61,078,406"
Investors Bank,Mortgage Servicer,NJ,"-$6,750","$6,750",$0,$0,$0,$0
Investors Financial Corporation of Pettis County,Bank (Private),MO,"-$3,825,676","$4,000,000",$0,"$174,324",$0,$0
"iServe Residential Lending, LLC",Mortgage Servicer,CA,$0,$0,$0,$0,$0,$0
"iServe Servicing, Inc.",Mortgage Servicer,TX,$0,$0,$0,$0,$0,$0
iTHINK Financial Credit Union,Mortgage Servicer,FL,"-$48,589","$48,589",$0,$0,$0,$0
James B.Nutter and Company,Mortgage Servicer,MO,"-$429,974","$429,974",$0,$0,$0,$0
JPMorgan Chase,Bank (Public),NY,"$1,731,202,357","$25,000,000,000","$25,000,000,000","$795,138,888","$936,063,469",$0
JPMorgan Chase subsidiaries,Mortgage Servicer,NJ,"-$3,243,888,392","$3,243,888,392",$0,$0,$0,$0
Katahdin Bankshares,Bank (Private),ME,"$1,974,048","$10,449,000","$10,449,000","$1,452,048","$522,000",$0
Kentucky Housing Corporation,State Housing Orgs,KY,"-$184,500,000","$184,500,000",$0,$0,$0,$0
KeyBank National Association,Mortgage Servicer,,"-$20,000","$20,000",$0,$0,$0,$0
KeyCorp,Bank (Public),OH,"$367,222,222","$2,500,000,000","$2,500,000,000","$297,222,222","$70,000,000",$0
"Kilmichael Bancorp, Inc.",Bank (Community Development),MS,"$602,679","$3,154,000","$3,154,000","$602,679",$0,$0
Kirksville Bancorp,Bank (Private),MO,"$152,228","$470,000","$470,000","$128,228","$24,000",$0
"KS Bancorp, Inc.",Bank (Private),NC,"$137,336","$4,000,000","$3,283,000","$713,936","$140,400",$0
Lafayette Bancorp,Bank (Private),MS,"$852,068","$4,551,000","$4,551,000","$752,068","$100,000",$0
Lake City Bank,Mortgage Servicer,IN,"-$119,700","$119,700",$0,$0,$0,$0
Lakeland Bancorp,Bank (Public),NJ,"$9,260,833","$59,000,000","$59,000,000","$6,460,833","$2,800,000",$0
Lakeland Financial Corporation,Bank (Public),IN,"$4,473,713","$56,044,000","$56,044,000","$3,596,156","$877,557",$0
Lake National Bank,Mortgage Servicer,OH,"-$10,651","$10,651",$0,$0,$0,$0
"Land/Home Financial Services, Inc.",Mortgage Servicer,CA,"-$6,084","$6,084",$0,$0,$0,$0
Layton Park Financial Group,Bank (Private),WI,"-$67,838","$3,000,000","$2,345,930","$481,857","$104,375",$0
LCNB Corp,Bank (Public),OH,"$1,127,390","$13,400,000","$13,400,000","$524,833","$602,557",$0
Leader Bancorp,Bank (Private),MA,"$894,016","$5,830,000","$5,830,000","$602,016","$292,000",$0
Legacy Bancorp,Bank (Community Development),WI,"-$5,142,921","$5,498,000",$0,"$355,079",$0,$0
LegacyTexas Bank,Mortgage Servicer,TX,"-$6,656","$6,656",$0,$0,$0,$0
"LenderLive Network, Inc",Mortgage Servicer,CO,"-$116,269","$116,269",$0,$0,$0,$0
"Lennar Mortgage, LLC",Mortgage Servicer,FL,"-$3,090","$3,090",$0,$0,$0,$0
Liberty Bancshares,Bank (Private),AR,"$10,691,967","$57,500,000","$57,500,000","$7,816,967","$2,875,000",$0
"Liberty Bancshares, Inc.",Bank (Private),MO,"$4,095,453","$21,900,000","$21,900,000","$3,000,453","$1,095,000",$0
"Liberty Bancshares, Inc. (TX)",Bank (Private),TX,"$1,947,271","$6,500,000","$6,500,000","$1,751,271","$196,000",$0
Liberty Bank and Trust Co,Mortgage Servicer,LA,$0,$0,$0,$0,$0,$0
Liberty County Teachers Federal Credit Union,Bank (Community Development),TX,"$46,434","$435,000","$435,000","$46,434",$0,$0
Liberty Financial Services,Bank (Community Development),LA,"$1,132,862","$11,334,000","$10,591,623","$1,875,239",$0,$0
Liberty Shares,Bank (Private),GA,"-$12,280,440","$17,280,000","$3,600,000","$1,399,560",$0,$0
Lincoln National Corporation,Insurance Company,PA,"$259,851,873","$950,000,000","$950,000,000","$46,180,554","$213,671,319",$0
Litton Loan Servicing LP,Mortgage Servicer,TX,"-$76,324,760","$76,324,760",$0,$0,$0,$0
LNB Bancorp,Bank (Public),OH,"$1,939,571","$25,223,000","$21,863,750","$4,438,495","$860,326",$0
Lone Star Bank,Bank (Private),TX,"-$1,071,119","$3,072,000","$1,908,480",$0,"$92,401",$0
Los Alamos National Bank,Mortgage Servicer,NM,"-$403,397","$403,397",$0,$0,$0,$0
Lower East Side People's Federal Credit Union / Union Settlement Federal Credit Union,Bank (Community Development),NY,"$55,696","$898,000","$827,118","$126,578",$0,$0
LSB Corp,Bank (Public),MA,"$1,260,000","$15,000,000","$15,000,000","$700,000","$560,000",$0
Mackinac Financial Corporation,Bank (Public),MI,"$2,521,828","$11,000,000","$10,380,905","$1,840,923","$1,300,000",$0
Madison Financial Corp,Bank (Private),KY,"$377,299","$3,370,000","$3,370,000","$169,421","$207,878",$0
Magna Bank,Bank (Private),TN,"$2,351,468","$13,795,000","$13,795,000","$1,661,468","$690,000",$0
Magna Bank (servicing),Mortgage Servicer,TN,$0,$0,$0,$0,$0,$0
"Mainline Bancorp, Inc.",Bank (Private),PA,"$763,190","$4,500,000","$4,500,000","$538,190","$225,000",$0
MainSource Financial Group,Bank (Public),IN,"$5,949,121","$57,000,000","$52,277,171","$9,159,773","$1,512,177",$0
Manhattan Bancorp,Bank (Public),CA,"$129,711","$1,700,000","$1,700,000","$66,347","$63,364",$0
"Manhattan Bancshares, Inc.",Bank (Private),IL,"$822,607","$2,639,000","$2,560,541","$770,045","$131,021",$0
"Marathon Legacy Securities Public-Private Investment Partnership, L.P.",Investment Fund,DE,"$399,600,628","$1,423,550,000","$1,423,550,000","$75,266,147",$0,"$324,334,480"
Marine Bank & Trust Company,Bank (Private),FL,"-$653,787","$3,000,000","$2,010,000","$235,713","$100,500",$0
"Marix Servicing, LLC",Mortgage Servicer,AZ,"-$2,162,025","$2,162,025",$0,$0,$0,$0
Market Bancorporation,Bank (Private),MN,"$272,249","$2,060,000","$2,060,000","$138,778","$133,471",$0
"Market Street Bancshares, Inc.",Bank (Private),IL,"$4,129,250","$20,300,000","$18,069,213","$5,535,306","$824,731",$0
Marquette National Corp,Bank (Private),IL,"-$1,664,053","$35,500,000","$25,313,186","$7,072,590","$1,450,171",$0
Marshall & Ilsley,Bank (Public),WI,"$229,772,916","$1,715,000,000","$1,715,000,000","$226,522,916","$3,250,000",$0
"Marsh Associates, Inc.",Mortgage Servicer,NC,"-$20,337","$20,337",$0,$0,$0,$0
Maryland Community Development Administration,Mortgage Servicer,MD,"-$331,346","$331,346",$0,$0,$0,$0
Maryland Financial Bank,Bank (Private),MD,"-$832,754","$1,700,000","$527,000","$313,471","$26,775",$0
Matrix Financial Services Corp.,Mortgage Servicer,AZ,"-$397,626","$397,626",$0,$0,$0,$0
MB Financial,Bank (Public),IL,"$33,613,071","$196,000,000","$196,000,000","$32,094,999","$1,518,072",$0
"McLeod Bancshares, Inc.",Bank (Private),MN,"$870,433","$6,000,000","$6,000,000","$570,433","$300,000",$0
Medallion Bank,Bank (Private),UT,"$2,962,676","$21,498,000","$21,498,000","$2,317,676","$645,000",$0
Mercantile Bank Corporation,Bank (Public),MI,"$10,631,120","$21,000,000","$21,000,000","$3,166,020","$7,465,100",$0
Mercantile Capital Corp,Bank (Private),MA,"$650,816","$3,500,000","$3,500,000","$475,816","$175,000",$0
Merchants and Manufacturers Bank Corporation,Bank (Private),IL,"$600,668","$3,510,000","$3,510,000","$424,668","$176,000",$0
Merchants and Planters Bancshares,Bank (Private),TN,"$350,562","$1,881,000","$1,881,000","$256,562","$94,000",$0
Meridian Bank,Bank (Private),PA,"$1,153,103","$12,535,000","$10,328,152","$3,094,901","$265,050",$0
Metro City Bank,Bank (Private),GA,"$1,105,995","$7,700,000","$6,861,462","$1,574,585","$369,948",$0
MetroCorp Bancshares,Bank (Public),TX,"$7,837,096","$45,000,000","$43,490,360","$7,259,368","$2,087,368",$0
Metropolitan Bank Group,Bank (Private),IL,"-$47,533,274","$74,706,000","$23,718,542","$3,454,184",$0,$0
"Metropolitan Capital Bancorp, Inc.",Bank (Private),IL,"$1,325,197","$4,388,000","$4,135,655","$1,476,429","$101,112",$0
M&F Bancorp,Bank (Community Development),NC,"-$185,805","$11,735,000","$9,388,000","$2,161,195",$0,$0
Michigan Homeowner Assistance Nonprofit Housing Corporation,State Housing Orgs,MI,"-$761,622,301","$761,622,301",$0,$0,$0,$0
Middleburg Financial Corp,Bank (Public),VA,"$1,287,945","$22,000,000","$22,000,000","$986,944","$301,001",$0
MidFirst Bank,Mortgage Servicer,OK,"-$232,760,903","$232,760,903",$0,$0,$0,$0
Midland States Bancorp,Bank (Private),IL,"$1,017,989","$10,189,000","$10,189,000","$508,989","$509,000",$0
Mid Penn Bancorp,Bank (Public),PA,"$2,070,978","$10,000,000","$10,000,000","$2,012,499","$58,479",$0
MidSouth Bancorp,Bank (Public),LA,"$2,834,334","$20,000,000","$20,000,000","$2,627,777","$206,557",$0
Midtown Bank & Trust Company,Bank (Private),GA,"-$1,651,863","$5,222,000","$3,133,200","$275,104","$161,833",$0
Midwest Banc Holdings,Bank (Public),IL,"-$88,563,712","$89,388,000",$0,"$824,288",$0,$0
Midwest Community Bank,Mortgage Servicer,IL,"-$4,817","$4,817",$0,$0,$0,$0
MidWest One Financial Group,Bank (Public),IA,"$2,933,333","$16,000,000","$16,000,000","$1,933,333","$1,000,000",$0
Midwest Regional Bancorp,Bank (Private),MO,"$63,294","$700,000","$700,000","$28,294","$35,000",$0
Mid-Wisconsin Financial Services,Bank (Private),WI,"$2,844,226","$10,000,000","$10,000,000","$2,344,226","$500,000",$0
Millenium Bancorp,Bank (Private),CO,"-$2,963,577","$7,260,000","$2,904,000","$1,392,423",$0,$0
Mission Community Bancorp,Bank (Private),CA,"$759,584","$5,116,000","$5,116,000","$759,584",$0,$0
Mission Federal Credit Union,Mortgage Servicer,CA,"-$828,873","$828,873",$0,$0,$0,$0
Mission Valley Bancorp,Bank (Community Development),CA,"$1,895,669","$10,336,000","$10,336,000","$1,895,669",$0,$0
Mississippi Home Corporation,State Housing Orgs,MS,"-$127,138,832","$127,138,832",$0,$0,$0,$0
Monadnock Bancorp,Bank (Private),NH,"$505,348","$1,834,000","$1,834,000","$413,348","$92,000",$0
Monarch Community Bancorp,Bank (Public),MI,"-$1,976,879","$6,785,000","$4,545,202","$262,919",$0,$0
Monarch Financial Holdings,Bank (Public),VA,"$1,003,166","$14,700,000","$14,700,000","$743,166","$260,000",$0
Moneytree Corporation,Bank (Private),TN,"$1,775,481","$9,516,000","$9,516,000","$1,299,481","$476,000",$0
Monument Bank,Bank (Private),MD,"$889,960","$4,734,000","$4,734,000","$652,960","$237,000",$0
"MorEquity, Inc.",Mortgage Servicer,IN,"-$4,628,164","$4,628,164",$0,$0,$0,$0
Morgan Stanley,Bank (Public),NY,"$1,268,055,555","$10,000,000,000","$10,000,000,000","$318,055,555","$950,000,000",$0
Morrill Bancshares,Bank (Private),KS,"$2,429,122","$13,000,000","$13,000,000","$1,779,122","$650,000",$0
Mortgage Center LLC,Mortgage Servicer,MI,"-$2,311,564","$2,311,564",$0,$0,$0,$0
Mortgage Investors Group,Mortgage Servicer,TN,"-$12,833","$12,833",$0,$0,$0,$0
Moscow Bancshares,Bank (Private),TN,"$1,516,432","$6,216,000","$6,216,000","$1,205,432","$311,000",$0
"Mountain Valley Bancshares, Inc.",Bank (Private),GA,"$769,981","$3,300,000","$3,242,000","$687,946","$140,035",$0
MS Financial,Bank (Private),TX,"$1,483,290","$7,723,000","$7,723,000","$1,097,290","$386,000",$0
M&T Bank,Mortgage Servicer,NY,"-$24,073,796","$24,073,796",$0,$0,$0,$0
M&T Bank Corporation,Bank (Public),NY,"$135,435,911","$600,000,000","$600,000,000","$103,597,150","$31,838,761",$0
MutualFirst Financial,Bank (Public),IN,"$5,226,789","$32,382,000","$32,382,000","$4,326,595","$900,194",$0
Naples Bancorp,Bank (Private),FL,"-$3,043,934","$4,000,000","$600,000","$356,066",$0,$0
Nara Bancorp,Bank (Public),CA,"$14,249,316","$67,000,000","$67,000,000","$12,059,999","$2,189,317",$0
National Bancshares,Bank (Private),IA,"-$3,192,912","$24,664,000","$18,318,148","$2,307,492","$845,448",$0
National Bank of Commerce,Mortgage Servicer,,"-$20,375","$20,375",$0,$0,$0,$0
National Penn Bancshares,Bank (Public),PA,"$17,958,333","$150,000,000","$150,000,000","$16,958,333","$1,000,000",$0
"Nationstar Mortgage, LLC dba Mr. Cooper",Mortgage Servicer,TX,"-$1,642,024,635","$1,642,024,635",$0,$0,$0,$0
Nationwide Advantage Mortgage Company,Mortgage Servicer,IA,"-$7,916","$7,916",$0,$0,$0,$0
"Nationwide Bankshares, Inc.",Bank (Private),NE,"$276,190","$2,000,000","$2,000,000","$176,190","$100,000",$0
Navy Federal Credit Union,Mortgage Servicer,VA,"-$12,867,922","$12,867,922",$0,$0,$0,$0
NCAL Bancorp,Bank (Private),CA,"-$4,788,973","$10,000,000","$3,900,000","$1,311,027",$0,$0
NC Bancorp,Bank (Private),IL,"-$4,572,286","$7,186,000","$2,281,458","$332,256",$0,$0
Neighborhood Trust Federal Credit Union,Bank (Community Development),NY,"$51,768","$283,000","$283,000","$51,768",$0,$0
NEMO Bancshares Inc.,Bank (Private),MO,"$869,347","$2,330,000","$2,330,000","$752,347","$117,000",$0
Nevada Affordable Housing Assistance Corporation,State Housing Orgs,NV,"-$196,247,650","$196,247,650",$0,$0,$0,$0
NewBridge Bancorp,Bank (Public),NC,"$17,715,061","$52,372,000","$50,837,239","$11,471,039","$7,778,783",$0
New Hampshire Thrift Bancshares,Bank (Public),NH,"$2,041,266","$10,000,000","$10,000,000","$1,304,166","$737,100",$0
New Jersey Housing and Mortgage Finance Agency,State Housing Orgs,NJ,"-$415,512,054","$415,512,054",$0,$0,$0,$0
NewRez LLC D/B/A Shellpoint Mortgage Servicing,Mortgage Servicer,SC,"-$117,305,968","$117,305,968",$0,$0,$0,$0
New York Private Bank & Trust Corp,Bank (Private),NY,"$79,520,006","$267,274,000","$267,274,000","$66,156,006","$13,364,000",$0
Nicolet Bankshares,Bank (Private),WI,"$2,940,842","$14,964,000","$14,964,000","$2,192,842","$748,000",$0
NJ Housing & Mortgage Finance,Mortgage Servicer,NJ,$0,$0,$0,$0,$0,$0
Noble Federal Credit Union,Mortgage Servicer,CA,"-$24,954","$24,954",$0,$0,$0,$0
North American Savings Bank,Mortgage Servicer,MO,"-$26,216","$26,216",$0,$0,$0,$0
North Carolina Housing Finance Agency,State Housing Orgs,NC,"-$706,938,882","$706,938,882",$0,$0,$0,$0
North Central Bancshares,Bank (Public),IA,"$2,094,583","$10,200,000","$10,200,000","$1,494,583","$600,000",$0
Northeast Bancorp,Bank (Public),ME,"$1,262,384","$4,227,000","$4,227,000","$1,072,384","$190,000",$0
Northeast Community Federal Credit Union,Bank (Community Development),CA,"$54,036","$350,000","$350,000","$54,036",$0,$0
Northern State Bank,Bank (Private),NJ,"$416,782","$2,571,000","$2,571,000","$349,782","$67,000",$0
Northern States Financial Corp,Bank (Public),IL,"-$10,768,828","$17,211,000","$6,023,850","$418,322",$0,$0
Northern Trust,Bank (Public),IL,"$133,623,333","$1,576,000,000","$1,576,000,000","$46,623,333","$87,000,000",$0
North Side Community Federal Credit Union,Bank (Community Development),IL,"$75,320","$325,000","$325,000","$75,320",$0,$0
Northway Financial,Bank (Private),NH,"$1,930,625","$10,000,000","$10,000,000","$1,430,625","$500,000",$0
Northwest Bancorporation,Bank (Private),WA,"$1,391,847","$10,500,000","$10,500,000","$575,429","$587,635","$228,783"
Northwest Commercial Bank,Bank (Private),WA,"$388,393","$1,992,000","$1,992,000","$288,393","$100,000",$0
Oakland Municipal Credit Union,Mortgage Servicer,CA,"-$10,068","$10,068",$0,$0,$0,$0
Oak Ridge Financial Services,Bank (Public),NC,"$811,025","$7,700,000","$7,024,595","$1,363,542","$122,888",$0
"Oaktree PPIP Fund, L.P.",Investment Fund,DE,"$291,426,775","$1,666,904,633","$1,666,904,632","$102,776,397",$0,"$188,650,378"
Oak Valley Bancorp,Bank (Public),CA,"$2,371,250","$13,500,000","$13,500,000","$1,811,250","$560,000",$0
OceanFirst Financial Corp,Bank (Public),NJ,"$2,258,918","$38,263,000","$38,263,000","$1,828,121","$430,797",$0
Ohio Homeowner Assistance LLC,State Housing Orgs,OH,"-$762,791,540","$762,791,540",$0,$0,$0,$0
Ojai Community Bank,Bank (Private),CA,"$574,759","$2,080,000","$2,080,000","$470,759","$104,000",$0
Old Line Bancshares,Bank (Public),MD,"$438,888","$7,000,000","$7,000,000","$213,888","$225,000",$0
Old National Bancorp,Bank (Public),IN,"$2,713,888","$100,000,000","$100,000,000","$1,513,888","$1,200,000",$0
Old Second Bancorp,Bank (Public),IL,"-$41,576,763","$73,000,000","$25,547,319","$5,769,027","$106,891",$0
Omega Capital Corp,Bank (Private),CO,"$587,602","$2,816,000","$2,816,000","$50,310","$159,886","$377,406"
OneFinancial Corporation,Bank (Private),AR,"-$6,121,559","$17,300,000","$7,395,448","$3,782,993",$0,$0
One Georgia Bank,Bank (Private),GA,"-$5,500,000","$5,500,000",$0,$0,$0,$0
OneUnited Bank,Bank (Community Development),MA,"-$11,697,759","$12,063,000",$0,"$365,241",$0,$0
Opportunities Credit Union,Bank (Community Development),VT,"$175,651","$1,091,000","$1,091,000","$175,651",$0,$0
Oregon Affordable Housing Assistance Corporation,State Housing Orgs,OR,"-$314,752,280","$314,752,280",$0,$0,$0,$0
Oregon Bancorp,Bank (Private),OR,"$950,808","$3,216,000","$3,216,000","$787,361","$163,447",$0
Oriental Bank,Mortgage Servicer,,"-$73,384","$73,384",$0,$0,$0,$0
ORNL Federal Credit Union,Mortgage Servicer,TN,"-$243,396","$243,396",$0,$0,$0,$0
OSB Financial Services,Bank (Private),TX,"$1,562,316","$6,100,000","$6,100,000","$1,257,316","$305,000",$0
"OwnersChoice Funding, Incorporated",Mortgage Servicer,NY,"-$648,994","$648,994",$0,$0,$0,$0
Pacific Capital Bancorp,Bank (Public),CA,"-$26,561,211","$195,045,000","$165,983,272","$2,107,396","$393,121",$0
Pacific City Financial Corp,Bank (Private),CA,"$1,526,384","$16,200,000","$16,200,000","$358,065","$1,168,319",$0
Pacific Coast Bankers' Bancshares,Bank (Private),CA,"$2,221,963","$11,600,000","$11,600,000","$1,641,963","$580,000",$0
Pacific Coast National Bancorp,Bank (Public),CA,"-$4,101,913","$4,120,000",$0,"$18,087",$0,$0
Pacific Commerce Bank,Bank (Public),CA,"-$1,018,330","$4,060,000","$2,519,960","$387,223","$134,487",$0
Pacific International Bancorp,Bank (Public),WA,"$1,437,745","$6,500,000","$6,500,000","$1,437,745",$0,$0
Park Bancorporation,Bank (Private),WI,"-$1,179,936","$23,200,000","$16,772,382","$4,351,643","$896,039",$0
Parke Bancorp,Bank (Public),NJ,"$77,555","$16,288,000","$11,595,735","$3,119,532","$1,650,288",$0
Park National Corporation,Bank (Public),OH,"$19,536,844","$100,000,000","$100,000,000","$16,694,444","$2,842,400",$0
Parkvale Financial Corp,Bank (Public),PA,"$11,020,424","$31,762,000","$31,762,000","$4,808,414","$6,212,010",$0
Park View Federal Savings Bank,Mortgage Servicer,OH,"-$53,936","$53,936",$0,$0,$0,$0
Pascack Community Bank,Bank (Private),NJ,"$741,313","$3,756,000","$3,756,000","$553,313","$188,000",$0
Patapsco Bancorp,Bank (Private),MD,"$3,260,824","$6,000,000","$6,000,000","$2,960,824","$300,000",$0
"Pathfinder Bancorp, Inc.",Bank (Public),NY,"$1,205,330","$6,771,000","$6,771,000","$667,697","$537,633",$0
Pathfinder Bank,Mortgage Servicer,NY,"-$111,914","$111,914",$0,$0,$0,$0
Pathway Bancorp,Bank (Private),NE,"$901,862","$3,727,000","$3,727,000","$77,851","$226,565","$597,446"
Patriot Bancshares,Bank (Private),TX,"$4,402,738","$26,038,000","$26,038,000","$2,704,135","$1,698,602",$0
Patterson Bancshares,Bank (Private),LA,"$1,002,028","$3,690,000","$3,690,000","$817,028","$185,000",$0
Peapack-Gladstone Financial,Bank (Public),NJ,"$3,390,741","$28,685,000","$28,685,000","$3,280,741","$110,000",$0
Peninsula Bank Holding Co,Bank (Public),CA,"$1,563,057","$6,000,000","$6,000,000","$1,372,276","$190,781",$0
Penn Liberty Financial Corp,Bank (Private),PA,"$1,785,689","$9,960,000","$9,960,000","$1,287,689","$498,000",$0
"PennyMac Loan Services, LLC",Mortgage Servicer,CA,"-$89,870,024","$89,870,024",$0,$0,$0,$0
Peoples Bancorp,Bank (Private),WA,"$3,325,250","$18,000,000","$18,000,000","$2,425,250","$900,000",$0
Peoples Bancorp Inc.,Bank (Public),OH,"$5,701,557","$39,000,000","$39,000,000","$4,500,833","$1,200,724",$0
Peoples Bancorp of North Carolina,Bank (Public),NC,"$2,823,965","$25,054,000","$23,033,635","$4,419,330","$425,000",$0
Peoples Bancorporation,Bank (Private),SC,"$2,702,912","$12,660,000","$12,660,000","$2,069,912","$633,000",$0
Peoples Bancshares of TN,Bank (Private),TN,"-$135,012","$3,900,000","$2,919,500","$723,263","$122,225",$0
PeoplesSouth Bancshares,Bank (Private),GA,"$3,661,000","$12,325,000","$12,325,000","$3,045,000","$616,000",$0
"PFSB Bancorporation, Inc.",Bank (Private),WI,"$230,164","$1,500,000","$1,500,000","$159,164","$71,000",$0
PGB Holdings,Bank (Community Development),IL,"$555,041","$3,000,000","$2,940,000","$615,041",$0,$0
Phenix Pride Federal Credit Union,Bank (Community Development),AL,"$8,151","$153,000","$142,000","$19,151",$0,$0
"PHH Mortgage, a subsidiary of Ocwen Financial Corporation",Mortgage Servicer,FL,"-$5,015,832,614","$5,015,832,614",$0,$0,$0,$0
PHH Mortgage Corporation,Mortgage Servicer,NJ,"-$658,465","$658,465",$0,$0,$0,$0
Pierce County Bancorp,Bank (Private),WA,"-$6,592,053","$6,800,000",$0,"$207,947",$0,$0
Pinnacle Bank Holding Company,Bank (Private),FL,"-$3,404,001","$4,389,000","$700,000","$284,999",$0,$0
Pinnacle Financial,Bank (Public),TN,"$16,918,194","$95,000,000","$95,000,000","$16,163,194","$755,000",$0
Plains Capital Corp,Bank (Private),TX,"$17,621,941","$87,631,000","$87,631,000","$13,239,941","$4,382,000",$0
"Planet Home Lending, LLC",Mortgage Servicer,CT,"-$3,495,269","$3,495,269",$0,$0,$0,$0
Plato Holdings Inc.,Bank (Private),MN,"$603,620","$2,500,000","$2,478,750","$534,288","$90,582",$0
"Plaza Home Mortgage, Inc",Mortgage Servicer,CA,"-$12,916","$12,916",$0,$0,$0,$0
Plumas Bancorp,Bank (Public),CA,"$1,815,140","$11,949,000","$11,949,000","$622,343","$234,500","$958,297"
"PNC Bank, National Association",Mortgage Servicer,PA,"-$4,791,959","$4,791,959",$0,$0,$0,$0
PNC Financial Services,Bank (Public),PA,"$741,344,650","$7,579,200,000","$7,579,200,000","$421,066,666","$320,277,984",$0
PNC Mortgage,Mortgage Servicer,OH,"-$85,868,412","$85,868,412",$0,$0,$0,$0
"Popular, Inc.",Bank (Public),PR,"$285,279,999","$935,000,000","$935,000,000","$269,279,999","$3,000,000","$13,000,000"
Porter Bancorp,Bank (Public),KY,"-$26,716,667","$35,000,000","$3,500,000","$4,783,333",$0,$0
Prairie Star Bancshares,Bank (Private),KS,"$321,271","$2,800,000","$2,800,000","$132,253","$189,018",$0
Premier Bancorp,Bank (Community Development),IL,"-$6,043,885","$6,784,000","$79,900","$660,215",$0,$0
Premier Bank Holding Company,Bank (Private),FL,"-$9,032,588","$9,500,000",$0,"$467,412",$0,$0
"Premier Financial Bancorp, Inc.",Bank (Public),WV,"$6,475,239","$22,252,000","$19,849,222","$3,203,017","$5,675,000",$0
Premier Financial Corp,Bank (Private),IA,"$2,429,669","$6,349,000","$6,349,000","$522,262","$478,591","$1,428,816"
Premier Service Bank,Bank (Private),CA,"$300,522","$4,000,000","$4,000,000","$100,522","$200,000",$0
PremierWest Bancorp,Bank (Public),OR,"$1,046,500","$41,400,000","$41,400,000","$1,046,500",$0,$0
Presidio Bank,Bank (Private),CA,"$277,697","$10,800,000","$9,058,369","$1,740,947","$278,381",$0
PrimeWest Mortgage Corporation,Mortgage Servicer,TX,$0,$0,$0,$0,$0,$0
Prince Kuhio Federal Credit Union,Bank (Community Development),HI,"$27,073","$273,000","$273,000","$27,073",$0,$0
Princeton National Bancorp,Bank (Public),IL,"-$22,811,595","$25,083,000",$0,"$2,271,405",$0,$0
PrivateBancorp,Bank (Public),IL,"$44,400,576","$243,815,000","$243,815,000","$43,175,576","$1,225,000",$0
Private Bancorporation,Bank (Private),MN,"$2,722,635","$8,222,000","$8,222,000","$2,474,635","$248,000",$0
Prosperity Bank,Mortgage Servicer,,"-$6,656","$6,656",$0,$0,$0,$0
Providence Bank,Bank (Private),NC,"$596,313","$4,000,000","$4,000,000","$421,313","$175,000",$0
Provident Bankshares Corp.,Bank (Public),MD,"$30,556,363","$151,500,000","$151,500,000","$11,509,286","$19,047,077",$0
Provident Community Bancshares,Bank (Public),SC,"-$3,626,609","$9,266,000","$5,096,300","$543,091",$0,$0
PSB Financial Corporation,Bank (Private),LA,"$1,704,291","$9,734,000","$9,734,000","$1,240,291","$464,000",$0
Puget Sound Bank,Bank (Private),WA,"$855,158","$4,500,000","$4,500,000","$630,158","$225,000",$0
Pulaski Financial Corp,Bank (Public),MO,"$2,657,846","$32,538,000","$28,460,338","$5,635,508","$1,100,000",$0
Purdue Federal Credit Union,Mortgage Servicer,IN,"-$17,976","$17,976",$0,$0,$0,$0
